id,title,type,episodes,status,score,rank,popularity,favorites,genres,image,genres_list,synopsis_clean
26,Sakigake!! Cromartie Koukou,TV,26,Finished Airing,7.88,904.0,1702,1745,Comedy,https://cdn.myanimelist.net/images/anime/1782/130913l.jpg,['Comedy'],"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there? Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc. [Written by MAL Rewrite]"
27,Ijigen no Sekai El-Hazard,TV,13,Finished Airing,6.76,5713.0,6314,10,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1843/139490l.jpg,"['Adventure', 'Comedy', 'Fantasy']",Miz plans to retire as a Great Priestess of Water to married life with her darling Fujisawa and as replacement the young Qawoor Towles arrives to Floristica. Jinnai sees Qawoor's initiation ceremony as a chance to infiltrate Makoto's laboratory but accidentally activates a mysterious thingy that sends them all through the dimensions to a grey industrial city protected by a huge castle in an alternative world.
28,Shinpi no Sekai El-Hazard (TV),TV,26,Finished Airing,6.93,4848.0,5397,41,"Adventure, Comedy, Fantasy, Romance",https://cdn.myanimelist.net/images/anime/13/24439l.jpg,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","High school science-whiz Makoto Mizuhara is working on his newest project in preparation for the school festival, alongside his best friend Nanami Jinnai. Nanami's brother and Makoto's lifelong rival, the unscrupulous student council president Katsuhiko Jinnai, is under scrutiny for mishandling the school festival planning and is convinced that Makoto is plotting to steal his position. One night, as Makoto and Nanami are taking a break with their teacher Masamichi Fujisawa, Jinnai sneaks into the science lab and sabotages Makoto's device, which suddenly opens a portal that flings all four of them into another world! Upon arrival, Makoto is immediately attacked by a horde of giant bug monsters. While running from them, he comes across Fujisawa and a girl named Rune Venus. After Fujisawa fights off the monsters, a group of dignitaries arrives, looking for Rune, their princess. They inform Makoto and Fujisawa that they are in a world called El-Hazard and take them back to the palace of Roshtaria, their kingdom. Though her advisors are suspicious of the newcomers, Rune decrees that they are to be treated as guests and quickly befriends Makoto. Unaware that Nanami and Jinnai are in this world as well, Makoto gets to work trying to figure out a way back to Earth. [Written by MAL Rewrite]"
29,Full Moon wo Sagashite,TV,52,Finished Airing,7.93,810.0,2112,1897,"Comedy, Drama, Romance, Supernatural",https://cdn.myanimelist.net/images/anime/1900/99154l.jpg,"['Comedy', 'Drama', 'Romance', 'Supernatural']","Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon. There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left. Full Moon wo Sagashite follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately, what it means to live. [Written by MAL Rewrite]"
30,Futakoi,TV,13,Finished Airing,6.41,7892.0,4087,26,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1498/145934l.jpg,"['Comedy', 'Romance']","With his mother dead and his father working abroad, Futami Nozomu returns to the town where he lived as a child, to attend high school and work part-time at a local shrine. He soon finds himself caught up in a local legend of twin girls loving the same man. And there are many twin girls in this town...."
31,Futakoi Alternative,TV,13,Finished Airing,6.83,5377.0,4327,85,"Comedy, Drama, Romance",https://cdn.myanimelist.net/images/anime/6/16733l.jpg,"['Comedy', 'Drama', 'Romance']","The Futaba Detective Agency, being run by Rentarou, who has taken over the family business, after his father's death 3 weeks ago. Along with Sara &amp; Souju, his live-in identical twin assistants. He ends up running afoul of the local Yakuza."
32,Gate Keepers,TV,24,Finished Airing,6.9,4993.0,4981,62,"Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/12/15226l.jpg,"['Comedy', 'Fantasy', 'Sci-Fi']","Technology, science, and industry—this is 1969 Tokyo, and there is no better time to be alive! But a shadow looms quietly around every corner: ""Invaders"" have infiltrated the populace, and nobody knows who or what they are. Only the members of the top-secret agency AEGIS know of their existence. Covertly fighting the enemy is their job, but only those with the ability to open ""Gates"" to another world can truly defeat them. Within AEGIS is a specialized task force known as the ""Gate Keepers."" Composed of extraordinary individuals with a variety of Gate-related abilities, they are the only ones who can save humanity from the vicious Invaders plaguing the planet. Shun Ukiya is an average high school student who lives with his widowed mother and little sister. While on his way home from school one day, he comes across a group of Invaders heading toward his house. In a desperate plight to save his family, Shun discovers he possesses the ability to open a Gate, allowing him to harness massive amounts of energy. With his newfound ability exposed, he catches the attention of AEGIS, and particularly the interest of one of its Gate Keepers, Shun's childhood friend Ruriko Ikusawa. [Written by MAL Rewrite]"
33,Gate Keepers 21,OVA,6,Finished Airing,6.73,5935.0,6679,21,"Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/6/75569l.jpg,"['Drama', 'Sci-Fi']","Thirty-two years have passed since the initial defeat of the Invaders. A.E.G.I.S is all but dismantled now and has become an underground organization consisting of only a few Gate Keepers left to save humanity. One of the members, Ayane Isuzu, is sick of society as a whole, though she continues to defeat the Invaders out of spite for her father. Suddenly, she learns of the revival of Machine General (Kikai Shogun) and Devil Count (Akuma Hakushaku), but a mysterious ghost girl now accompanies them. It is up to Ayane and the remnants of A.E.G.I.S to stop them and save humanity once again."
34,Gensoumaden Saiyuuki,TV,50,Finished Airing,7.54,1900.0,3189,799,"Action, Adventure, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/11/75282l.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']","Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao—an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons—Sha Gojyo, Son Goku, and Cho Hakkai—and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth."
35,Saiyuuki Reload,TV,25,Finished Airing,7.36,2621.0,4057,122,"Action, Adventure, Comedy, Drama, Supernatural",https://cdn.myanimelist.net/images/anime/13/24719l.jpg,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']","Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy."
36,GetBackers,TV,49,Finished Airing,7.56,1792.0,1961,908,"Action, Mystery, Supernatural",https://cdn.myanimelist.net/images/anime/1056/109721l.jpg,"['Action', 'Mystery', 'Supernatural']","Mido Ban and Amano Ginji are known as the Get Backers, retrievers with a success rate of 100%. Whatever is lost or stolen, they can definitely get it back. Despite their powerful abilities and enthusiastic behavior, Ban and Ginji are terminally broke no matter what they do simply because few people would actually desire to hire them. As a result, the pair of them tend to do dangerous jobs, often leading to unwanted re-encounters with their old (and dangerous) friends."
37,Hunter x Hunter: Original Video Animation,OVA,8,Finished Airing,8.31,290.0,1882,439,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1/137l.jpg,"['Action', 'Adventure', 'Fantasy']","After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro."
38,Hunter x Hunter: Greed Island,OVA,8,Finished Airing,8.18,443.0,1497,320,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1902/122320l.jpg,"['Action', 'Adventure', 'Fantasy']","After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island."" However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro."
